,pyname,name,range
299,fx_a4_param_4,FX A4 Param 4,"(None, None, None)"
300,fx_a2_param_11,FX A2 Param 11,"(None, None, None)"
301,b_lfo_2_rate,B LFO 2 Rate,"(0.008, 512.0, None)"
302,fx_a3_param_7,FX A3 Param 7,"(None, None, None)"
303,fx_s2_param_6,FX S2 Param 6,"(None, None, None)"
304,b_scene_lfo_5_deform,B Scene LFO 5 Deform,"(-100.0, 100.0, 0.2)"
305,a_osc_3_retrigger,A Osc 3 Retrigger,"(False, True, 1)"
306,a_filter_1_type,A Filter 1 Type,"(None, None, None)"
307,fx_a1_param_1,FX A1 Param 1,"(None, None, None)"
308,a_lfo_1_hold,A LFO 1 Hold,"(None, None, None)"
309,b_lfo_3_hold,B LFO 3 Hold,"(None, None, None)"
310,fx_g2_param_8,FX G2 Param 8,"(None, None, None)"
311,a_scene_lfo_1_amplitude,A Scene LFO 1 Amplitude,"(0.0, 100.0, 0.1)"
312,a_lfo_4_hold,A LFO 4 Hold,"(None, None, None)"
313,fx_g2_fx_type,FX G2 FX Type,"(None, None, None)"
314,b_ring_modulation_2x3_solo,B Ring Modulation 2x3 Solo,"(False, True, 1)"
315,a_lfo_3_deform,A LFO 3 Deform,"(-100.0, 100.0, 0.2)"
316,fx_g4_param_4,FX G4 Param 4,"(None, None, None)"
317,b_ring_modulation_1x2_volume,B Ring Modulation 1x2 Volume,"(-inf, 0.0, None)"
318,a_osc_1_route,A Osc 1 Route,"(None, None, None)"
319,fx_s1_param_7,FX S1 Param 7,"(None, None, None)"
320,fx_g2_param_1,FX G2 Param 1,"(None, None, None)"
321,a_feedback,A Feedback,"(-100.0, 100.0, 0.2)"
322,fx_s3_param_11,FX S3 Param 11,"(None, None, None)"
323,a_lfo_5_type,A LFO 5 Type,"(None, None, None)"
324,a_velocity_vca_gain,A Velocity > VCA Gain,"(-48.0, 0.0, None)"
325,a_osc_3_pitch,A Osc 3 Pitch,"(None, None, None)"
326,fx_g3_fx_type,FX G3 FX Type,"(None, None, None)"
327,a_osc_2_mute,A Osc 2 Mute,"(False, True, 1)"
328,a_osc_2_route,A Osc 2 Route,"(None, None, None)"
329,fx_s1_param_9,FX S1 Param 9,"(None, None, None)"
330,b_scene_lfo_5_phase,B Scene LFO 5 Phase,"(0.0, 100.0, 0.1)"
331,b_scene_lfo_1_type,B Scene LFO 1 Type,"(None, None, None)"
332,b_lfo_6_phase,B LFO 6 Phase,"(0.0, 100.0, 0.1)"
333,fx_a2_param_8,FX A2 Param 8,"(None, None, None)"
334,m7,M7: -,"(0.0, 0.0, None)"
335,a_lfo_3_hold,A LFO 3 Hold,"(None, None, None)"
336,b_lfo_1_phase,B LFO 1 Phase,"(0.0, 100.0, 0.1)"
337,b_scene_lfo_6_amplitude,B Scene LFO 6 Amplitude,"(0.0, 100.0, 0.1)"
338,fx_s2_param_11,FX S2 Param 11,"(None, None, None)"
339,a_scene_lfo_1_trigger_mode,A Scene LFO 1 Trigger Mode,"(None, None, None)"
340,b_scene_lfo_5_unipolar,B Scene LFO 5 Unipolar,"(False, True, 1)"
